year_film,year_award,ceremony,category,nominee,film,win
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Downey Jr.,Sherlock Holmes,TRUE
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,The Informant!,FALSE
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Day-Lewis,Nine,FALSE
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joseph Gordon-Levitt,(500) Days of Summer,FALSE
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Stuhlbarg,"Serious Man, A",FALSE
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mo'Nique,Precious: Based On The Novel Push By Sapphire,TRUE
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Vera Farmiga,Up In The Air,FALSE
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anna Kendrick,Up In The Air,FALSE
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julianne Moore,A Single Man,FALSE
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penélope Cruz,Nine,FALSE
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Inglourious Basterds,TRUE
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Matt Damon,Invictus,FALSE
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Woody Harrelson,"Messenger, The",FALSE
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Plummer,"Last Station, The",FALSE
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stanley Tucci,"Lovely Bones, The",FALSE
2009,2010,67,Best Director - Motion Picture,James Cameron,Avatar,TRUE
2009,2010,67,Best Director - Motion Picture,Kathryn Bigelow,"Hurt Locker, The",FALSE
2009,2010,67,Best Director - Motion Picture,Jason Reitman,Up In The Air,FALSE
2009,2010,67,Best Director - Motion Picture,Quentin Tarantino,Inglourious Basterds,FALSE
2009,2010,67,Best Director - Motion Picture,Clint Eastwood,Invictus,FALSE
2009,2010,67,Best Screenplay - Motion Picture,"Jason Reitman, Sheldon Turner",Up In The Air,TRUE
2009,2010,67,Best Screenplay - Motion Picture,"Neill Blomkamp, Terri Tatchell",District 9,FALSE
2009,2010,67,Best Screenplay - Motion Picture,Mark Boal,"Hurt Locker, The",FALSE
2009,2010,67,Best Screenplay - Motion Picture,Nancy Meyers,It's Complicated,FALSE
2009,2010,67,Best Screenplay - Motion Picture,Quentin Tarantino,Inglourious Basterds,FALSE
2009,2010,67,Best Motion Picture - Animated,Up,,TRUE
2009,2010,67,Best Motion Picture - Animated,Coraline,,FALSE
2009,2010,67,Best Motion Picture - Animated,Fantastic Mr. Fox,,FALSE
2009,2010,67,Best Motion Picture - Animated,"Princess And The Frog, The",,FALSE
2009,2010,67,Best Motion Picture - Animated,Cloudy With A Chance Of Meatballs,,FALSE
2009,2010,67,Best Motion Picture - Foreign Language,The White Ribbon (Das Weisse Band - Eine Deutsche Kindergeschichte),"Germany, Michael Haneke",TRUE
2009,2010,67,Best Motion Picture - Foreign Language,Baarìa,"Italy, Giuseppe Tornatore",FALSE
2009,2010,67,Best Motion Picture - Foreign Language,Broken Embraces,"Spain, Pedro Almodóvar",FALSE
2009,2010,67,Best Motion Picture - Foreign Language,The Maid (La Nana),"Chile, Sebastián Silva",FALSE
2009,2010,67,Best Motion Picture - Foreign Language,A Prophet (Un Prophete),"France, Jacques Audiard",FALSE
2009,2010,67,Best Original Score - Motion Picture,Michael Giacchino,Up,TRUE
2009,2010,67,Best Original Score - Motion Picture,Marvin Hamlisch,The Informant!,FALSE
2009,2010,67,Best Original Score - Motion Picture,James Horner,Avatar,FALSE
2009,2010,67,Best Original Score - Motion Picture,Abel Korzeniowski,A Single Man,FALSE
2009,2010,67,Best Original Score - Motion Picture,"Karen O, Carter Burwell",Where The Wild Things Are,FALSE
2009,2010,67,Best Original Song - Motion Picture,"""The Weary Kind (Theme From Crazy Heart)"", T Bone Burnett, Ryan Bingham",Crazy Heart,TRUE
2009,2010,67,Best Original Song - Motion Picture,"""Winter"", U2",Brothers,FALSE
2009,2010,67,Best Original Song - Motion Picture,"""Cinema Italiano"", Maury Yeston",Nine,FALSE
2009,2010,67,Best Original Song - Motion Picture,"""(I Want To) Come Home"", Paul McCartney",Everybody's Fine,FALSE
2009,2010,67,Best Original Song - Motion Picture,"I See You, James Horner, Simon Franglen, Kuk Harrell",Avatar,FALSE
2009,2010,67,Best Television Series - Drama,Mad Men,,TRUE
2009,2010,67,Best Television Series - Drama,Big Love,,FALSE
2009,2010,67,Best Television Series - Drama,Dexter,,FALSE
2009,2010,67,Best Television Series - Drama,House,,FALSE
2009,2010,67,Best Television Series - Drama,True Blood,,FALSE
2009,2010,67,Best Television Series - Musical or Comedy,Glee,,TRUE
2009,2010,67,Best Television Series - Musical or Comedy,"Office, The",,FALSE
